epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,527.761,1.25924,1.44405,1.15527,0.9111,0.8574,0.89081,0.55306,1.28659,1.13214,1.18921,0.000665158,0.000665158,0.000665158
2,1078.48,1.27879,0.87781,1.16431,0.93084,0.84055,0.88242,0.56002,1.268,0.80305,1.19311,0.00130545,0.00130545,0.00130545
3,1584.14,1.26768,0.78242,1.1645,0.95484,0.88625,0.92742,0.60093,1.23371,0.72732,1.15884,0.00191935,0.00191935,0.00191935
4,2058.62,1.2367,0.73305,1.14486,0.92677,0.8861,0.93137,0.60301,1.23936,0.67888,1.15569,0.0018812,0.0018812,0.0018812
5,2546.33,1.22594,0.69906,1.13618,0.95698,0.88793,0.92748,0.61971,1.19498,0.6556,1.14285,0.0018416,0.0018416,0.0018416
