epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,8975.48,1.10753,0.53246,1.07043,0.98174,0.93103,0.96646,0.67669,1.10819,0.48317,1.0697,0.0012872,0.0012872,0.0012872
20,9433.42,1.10646,0.525,1.06898,0.98407,0.92849,0.9659,0.68217,1.09907,0.46184,1.06849,0.0012476,0.0012476,0.0012476
21,9901.35,1.09065,0.51512,1.063,0.98055,0.94174,0.96869,0.68383,1.10486,0.45911,1.06878,0.001208,0.001208,0.001208
22,10371,1.09763,0.51193,1.06353,0.98436,0.93667,0.97069,0.67805,1.10418,0.46296,1.07131,0.0011684,0.0011684,0.0011684
23,10848,1.08701,0.50679,1.05579,0.98187,0.93768,0.97046,0.69025,1.09101,0.44579,1.06224,0.0011288,0.0011288,0.0011288
24,11349.7,1.07534,0.49981,1.05274,0.97951,0.93637,0.96957,0.69613,1.07981,0.44322,1.05138,0.0010892,0.0010892,0.0010892
25,11870.2,1.07199,0.49404,1.04819,0.97876,0.94467,0.97273,0.6886,1.08136,0.43659,1.05696,0.0010496,0.0010496,0.0010496
26,12387.3,1.08193,0.49616,1.05248,0.97657,0.9426,0.96754,0.68984,1.095,0.43844,1.05362,0.00101,0.00101,0.00101
27,12918.5,1.07016,0.4883,1.05031,0.97636,0.94082,0.96991,0.68973,1.07567,0.43397,1.05325,0.0009704,0.0009704,0.0009704
28,13414.9,1.06253,0.48786,1.04667,0.98222,0.9344,0.96997,0.69362,1.08804,0.43931,1.05478,0.0009308,0.0009308,0.0009308
29,13913.5,1.06674,0.4817,1.04839,0.98164,0.9426,0.97334,0.70013,1.07136,0.42871,1.05142,0.0008912,0.0008912,0.0008912
30,14414.6,1.05881,0.47795,1.04581,0.98289,0.94205,0.97376,0.70262,1.07964,0.41979,1.05206,0.0008516,0.0008516,0.0008516
31,14897.8,1.05549,0.47027,1.044,0.98142,0.93863,0.97376,0.70052,1.06263,0.4279,1.04637,0.000812,0.000812,0.000812
32,15367.7,1.05126,0.47199,1.03965,0.98148,0.94533,0.97526,0.7001,1.07055,0.41298,1.05029,0.0007724,0.0007724,0.0007724
33,15850.9,1.03449,0.45934,1.03078,0.98168,0.95191,0.97541,0.70106,1.06624,0.40799,1.04418,0.0007328,0.0007328,0.0007328
34,16309.2,1.04748,0.46331,1.03975,0.98569,0.9385,0.97358,0.7011,1.06461,0.41502,1.04361,0.0006932,0.0006932,0.0006932
35,16787.4,1.03165,0.45083,1.03471,0.98304,0.9467,0.97658,0.7045,1.0644,0.40886,1.04254,0.0006536,0.0006536,0.0006536
36,17256.7,1.03068,0.44965,1.0304,0.98662,0.94442,0.97616,0.70254,1.06297,0.40147,1.04247,0.000614,0.000614,0.000614
37,17731.2,1.02612,0.44097,1.03672,0.98336,0.9422,0.97434,0.70773,1.05916,0.39931,1.03498,0.0005744,0.0005744,0.0005744
38,18197.1,1.02017,0.44052,1.02713,0.97974,0.94725,0.97464,0.70515,1.06675,0.39828,1.03723,0.0005348,0.0005348,0.0005348
39,18659.8,1.02121,0.43652,1.02692,0.9814,0.94852,0.97401,0.70637,1.05814,0.39732,1.03867,0.0004952,0.0004952,0.0004952
40,19129.8,1.00996,0.43388,1.02432,0.98349,0.94998,0.97678,0.70804,1.05539,0.39331,1.03761,0.0004556,0.0004556,0.0004556
41,19690.9,1.00477,0.39452,1.03305,0.98715,0.94214,0.97576,0.70679,1.05477,0.40295,1.03855,0.000416,0.000416,0.000416
42,20172.5,0.99435,0.38713,1.03136,0.98852,0.94117,0.97314,0.70444,1.05632,0.40082,1.0386,0.0003764,0.0003764,0.0003764
43,20671.3,0.98762,0.38299,1.028,0.98019,0.94694,0.97447,0.70791,1.05916,0.39902,1.04003,0.0003368,0.0003368,0.0003368
44,21138.3,0.97905,0.37595,1.02489,0.9857,0.94177,0.97172,0.70856,1.05614,0.39913,1.03772,0.0002972,0.0002972,0.0002972
45,21606.4,0.97638,0.37294,1.01904,0.98994,0.93713,0.97315,0.70686,1.05361,0.39281,1.03422,0.0002576,0.0002576,0.0002576
46,22069.3,0.96866,0.36931,1.01798,0.98493,0.94579,0.97387,0.71067,1.05562,0.39595,1.03595,0.000218,0.000218,0.000218
47,22530.7,0.96018,0.36494,1.01426,0.99181,0.94077,0.97546,0.71212,1.052,0.39188,1.03451,0.0001784,0.0001784,0.0001784
48,22989.4,0.95756,0.36055,1.01198,0.98263,0.94715,0.97599,0.71357,1.05125,0.39124,1.03429,0.0001388,0.0001388,0.0001388
49,23441.7,0.95268,0.35453,1.00831,0.97964,0.94897,0.97622,0.71589,1.0505,0.38838,1.03477,9.92e-05,9.92e-05,9.92e-05
50,23868.3,0.94533,0.35294,1.00831,0.98821,0.9426,0.97596,0.71441,1.04697,0.38627,1.03282,5.96e-05,5.96e-05,5.96e-05
